ObjectID;Product (EN);Studio;Vitrine;Position;Brand;Model/Type;Colour;Colour 2;Designer;Year;Era;Country;Technische Beschrijving;Location (studio-vitrine-product);Origin;Photo;Conditie;Opslag (asbest etc.);Drawing Topics;;
DDP-0001;Card index box;1;1;1;Rolodex;NSW-24C;Grey;;Unknown;1980;Late Modern;U.S.A.;A classic 1970s/80s rotary swivel card file designed for desktop contact organization, including A-Z alphabetical dividers. It is known for its durable, covered design that keeps cards secure and dust-free.;1-1-1;JanWillem Hoftijzer ;Picture;Goed;;"Cylindrical Shapes; Matt Surfaces; Transparent Materials";;
DDP-0002;Typewriter;1;1;2;IBM;Selectric Composer;Grey;;Bruno Ninaber van Eyden;1975;Late Modern;Netherlands;In 1970, the IBM Selectric Composer represented the pinnacle of office typesetting technology, bridging the gap between standard typewriters and professional printing. Unlike the standard IBM Selectric models used for daily correspondence, the Composer was a specialized machine designed for 'cold type' publishing of books, newsletters, and manuals.;1-1-2;Unknown;;Goed;;"Block Shapes; Singular Rounding; Matt Surfaces";;
DDP-0003;Transport case;1;1;3;Unknown;;Black;;Unknown;;Pre-1950;Unknown;Transport cases are specialized containers designed to protect fragile or high-value equipment during shipping and handling. Unlike standard suitcases, they typically feature internal structures like custom foam or dividers to secure items and are often built to withstand extreme conditions, including water, dust, and heavy impacts.;1-1-3;Unknown;Picture;Redelijk;;"Block Shapes; Multiple Rounding; Matt Surfaces";;
DDP-0004;Typewriter with lid;1;1;4;Olympia;Progress;Black;;Johannes Kruger;1935;Pre-1950;Germany;"The Olympia Progress is a classic mechanical portable typewriter, produced by the German manufacturer Olympia-Werke between 1934 and 1948. The model is known for its robust ""German reliability"" and was often supplied with a distinctive wooden or metal case for transport.";1-1-4;Unknown;Picture;Redelijk;;"Singular Rounding; Glossy Surfaces";;
DDP-0005;Calculator;1;1;5;Odhner;H9S6;Grey;;Willgodt Theophil Odhner;1960;Mid-Century Modern;Sweden;A 1960s hand-cranked (non-electric) calculator, based on the original pinwheel mechanism invented by Willgodt Theophil Odhner (often referred to as Vilgot Udner in Swedish contexts).;1-1-5;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0006;Hole punch;1;1;6;Multio;;Black;;Unknown;1980;Late Modern;England;"These type of vintage hole punches emody the  principles of industrial functionalism and ""Buy It For Life"" philosophy. The tool's beauty comes directly from its utility, and it's: practically indestructible.";1-1-6;Unknown;Picture;Goed;;"Multiple Rounding; Glossy Surfaces";;
DDP-0007;Hole punch;1;1;6;E.J. Arnold (EA);;Grey;;Unknown;1955;Mid-Century Modern;Unknown;A robust, metal hole punch with a classic grey finish, typical of office supplies from the mid-20th century (1940s to 1960s).;1-1-6;Unknown;Picture;Redelijk;;"Multiple Rounding; Glossy Surfaces";;
DDP-0008;FM stereo receiver and amplifier;1;1;7;Bang & Olufsen;Beomaster 1900;Wood;;Jacob Jensen;1976;Late Modern;Denmark;Won the ID Award in 1976 due to the groundbreaking design at the time. Displayed in the MoMa in New York.;1-1-7;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0009;Typewriter;1;1;8;Olivetti;Lettera 22;Blue;;Marcello Nizzoli;1955;Mid-Century Modern;Italy;Iconic design from the 50s;1-1-8;Unknown;Picture;Goed;;"Multiple Rounding; Glossy Surfaces";;
DDP-0010;Typewriter with case;1;1;9;Remington;Sperry Idol;Red;;Unknown;1980;Late Modern;Netherlands;"This vintage Sperry Remington Idol was known as a compact ""student"" portable typewriter. On this type of machine, the number key '1' is often missing, being replaced by the small 'l'.";1-1-9;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Glossy Surfaces";;
DDP-0011;Typewriter with case;1;1;10;Adler;Triumph Gabriele 2000;Orange;;Unknown;1972;Late Modern;West Germany;The Triumph-Adler Gabriele 2000 is a classic portable electric typewriter known for its bold 1970s orange color and West German engineering. Produced following Litton Industries' acquisition of both the Triumph and Adler brands, this model was sold interchangeably under both names. ;1-1-10;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
